id,code,name,user_type_id/id,chart_template_id:id,reconcile
332002_account_Muhlhel,332002G0,Cost Of Goods Sold.,account.data_account_type_expenses,account_arabic_coa_general,FALSE
332003_account_Muhlhel,332003G0,Expenses Gasoline And Diesel  For Cars,account.data_account_type_expenses,account_arabic_coa_general,FALSE
332004_account_Muhlhel,332004G0,Expenses Car Maintenance,account.data_account_type_expenses,account_arabic_coa_general,FALSE
332005_account_Muhlhel,332005G0,Expenses Of Equipment And Tools,account.data_account_type_expenses,account_arabic_coa_general,FALSE
332006_account_Muhlhel,332006G0,Expenses Installation Works,account.data_account_type_expenses,account_arabic_coa_general,FALSE
335001_account_Muhlhel,335001G0,Zakat And Income,account.data_account_type_expenses,account_arabic_coa_general,FALSE
335002_account_Muhlhel,335002G0,Charitable Donations And Alms,account.data_account_type_expenses,account_arabic_coa_general,FALSE
335003_account_Muhlhel,335003G0,Subsidies To Others,account.data_account_type_expenses,account_arabic_coa_general,FALSE
341001_account_Muhlhel,341001G0,Third-Party Compensation And Fines,account.data_account_type_expenses,account_arabic_coa_general,FALSE
341002_account_Muhlhel,341002G0,Capital Losses,account.data_account_type_expenses,account_arabic_coa_general,FALSE
341003_account_Muhlhel,341003G0,Business Activity Revenues,account.data_account_type_expenses,account_arabic_coa_general,FALSE
341004_account_Muhlhel,341004G0,Bad Debts,account.data_account_type_expenses,account_arabic_coa_general,FALSE
341005_account_Muhlhel,341005G0,Profits Income Tax,account.data_account_type_expenses,account_arabic_coa_general,FALSE
352001_account_Muhlhel,352001G0,Destruction Of Buildings And Constructions,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
352002_account_Muhlhel,352002G0,Depreciation Small Car,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
352003_account_Muhlhel,352003G0,Depreciation Of Transport Vehicles,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
352004_account_Muhlhel,352004G0,Depreciation Of Furniture And Furnishings,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
352005_account_Muhlhel,352005G0,Depreciation Of Equipment And Tools,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
352006_account_Muhlhel,352006G0,Depreciation Of Electrical And Electronic Devices,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
352007_account_Muhlhel,352007G0,Depreciation Of Communication Devices And Computers,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
352008_account_Muhlhel,352008G0,Leftover And Damaged Stock,account.data_account_type_depreciation,account_arabic_coa_general,FALSE
411001_account_Muhlhel,411001G0,Sales  total ,account.data_account_type_revenue,account_arabic_coa_general,FALSE
411002_account_Muhlhel,411002G0,Net sales of goods for sale,account.data_account_type_revenue,account_arabic_coa_general,FALSE
411003_account_Muhlhel,411003G0,Sales Permits,account.data_account_type_revenue,account_arabic_coa_general,FALSE
411004_account_Muhlhel,411004G0,Gifts,account.data_account_type_revenue,account_arabic_coa_general,FALSE
412001_account_Muhlhel,412001G0,Service Revenues,account.data_account_type_revenue,account_arabic_coa_general,FALSE
412002_account_Muhlhel,412002G0,Returns of sales services,account.data_account_type_revenue,account_arabic_coa_general,FALSE
421001_account_Muhlhel,421001G0,Property rental income,account.data_account_type_revenue,account_arabic_coa_general,FALSE
421002_account_Muhlhel,421002G0,Rental income of ATM areas,account.data_account_type_revenue,account_arabic_coa_general,FALSE
421003_account_Muhlhel,421003G0,Revenue of advertising space,account.data_account_type_revenue,account_arabic_coa_general,FALSE
422001_account_Muhlhel,422001G0,Shipping Revenues To Others,account.data_account_type_other_income,account_arabic_coa_general,FALSE
422002_account_Muhlhel,422002G0,Deductions for demurrages Revenues ,account.data_account_type_revenue,account_arabic_coa_general,FALSE
422003_account_Muhlhel,422003G0,Penalties and absence of workers,account.data_account_type_revenue,account_arabic_coa_general,FALSE
422004_account_Muhlhel,422004G0,Service Revenues ,account.data_account_type_revenue,account_arabic_coa_general,FALSE
422005_account_Muhlhel,422005G0,Revenue from compensation and fines to others,account.data_account_type_revenue,account_arabic_coa_general,FALSE
422006_account_Muhlhel,422006G0,Revenue of the difference,account.data_account_type_revenue,account_arabic_coa_general,FALSE
422007_account_Muhlhel,422007G0,Discounts Earned,account.data_account_type_other_income,account_arabic_coa_general,FALSE
423001_account_Muhlhel,423001G0,Sales revenue of assets,account.data_account_type_other_income,account_arabic_coa_general,FALSE
432002_account_Muhlhel,432002G0,Assets replacement income,account.data_account_type_other_income,account_arabic_coa_general,FALSE
